"country","date","people_fully_vaccinated","people_vaccinated","people_fully_vaccinated","daily_vaccinations","population","continent","cumsum_total_vaccination","people_fully_vaccinated_per_million","people_vaccinated_per_million","daily_vaccinated_per_million"
"Albania",2021-02-10,0,0,0,81,2875512,"Europe",1152,0,0,28.1688965304266
"Albania",2021-02-11,0,0,0,79,2875512,"Europe",1231,0,0,27.4733682210333
"Albania",2021-02-12,0,0,0,78,2875512,"Europe",1309,0,0,27.1256040663367
"Albania",2021-02-13,0,0,0,76,2875512,"Europe",1385,0,0,26.4300757569435
"Albania",2021-02-14,0,0,0,75,2875512,"Europe",1460,0,0,26.0823116022468
"Albania",2021-02-15,0,0,0,73,2875512,"Europe",1533,0,0,25.3867832928536
"Albania",2021-02-16,0,0,0,72,2875512,"Europe",1605,0,0,25.039019138157
"Albania",2021-02-17,611,1090,611,72,2875512,"Europe",1677,212.483898519638,379.062928619321,25.039019138157
"Albania",2021-02-18,611,2438,611,254,2875512,"Europe",1931,212.483898519638,847.84900915037,88.3320952929426
"Albania",2021-02-19,0,0,0,405,2875512,"Europe",2336,0,0,140.844482652133
"Albania",2021-02-20,0,0,0,516,2875512,"Europe",2852,0,0,179.446303823458
"Albania",2021-02-21,0,0,0,627,2875512,"Europe",3479,0,0,218.048124994784
"Albania",2021-02-22,655,6073,655,739,2875512,"Europe",4218,227.785521326289,2111.9717114726,256.997710320805
"Albania",2021-02-23,0,0,0,891,2875512,"Europe",5109,0,0,309.857861834692
"Albania",2021-02-24,0,0,0,1043,2875512,"Europe",6152,0,0,362.718013348579
"Albania",2021-02-25,0,0,0,1012,2875512,"Europe",7164,0,0,351.937324552984
"Albania",2021-02-26,0,0,0,1000,2875512,"Europe",8164,0,0,347.764154696624
"Albania",2021-02-27,0,0,0,1027,2875512,"Europe",9191,0,0,357.153786873433
"Albania",2021-02-28,0,152874.2,0,1054,2875512,"Europe",10245,0,53164.1669379227,366.543419050242
"Albania",2021-03-01,0,0,0,1081,2875512,"Europe",11326,0,0,375.933051227051
"Albania",2021-03-02,0,0,0,1026,2875512,"Europe",12352,0,0,356.806022718737
"Albania",2021-03-03,0,0,0,971,2875512,"Europe",13323,0,0,337.678994210422
"Albania",2021-03-04,0,0,0,927,2875512,"Europe",14250,0,0,322.377371403771
"Albania",2021-03-05,0,0,0,897,2875512,"Europe",15147,0,0,311.944446762872
"Albania",2021-03-06,0,0,0,867,2875512,"Europe",16014,0,0,301.511522121973
"Albania",2021-03-07,0,0,0,838,2875512,"Europe",16852,0,0,291.426361635771
"Albania",2021-03-08,0,0,0,808,2875512,"Europe",17660,0,0,280.993436994873
"Albania",2021-03-09,0,0,0,820,2875512,"Europe",18480,0,0,285.166606851232
"Albania",2021-03-10,0,0,0,831,2875512,"Europe",19311,0,0,288.992012552895
"Albania",2021-03-11,0,0,0,857,2875512,"Europe",20168,0,0,298.033880575007
"Albania",2021-03-12,0,0,0,883,2875512,"Europe",21051,0,0,307.075748597119
"Albania",2021-03-13,0,0,0,1042,2875512,"Europe",22093,0,0,362.370249193883
"Albania",2021-03-14,0,0,0,1201,2875512,"Europe",23294,0,0,417.664749790646
"Albania",2021-03-15,0,0,0,1361,2875512,"Europe",24655,0,0,473.307014542106
"Albania",2021-03-16,0,456105.8,0,1520,2875512,"Europe",26175,0,158617.247989228,528.601515138869
"Albania",2021-03-17,0,0,0,1679,2875512,"Europe",27854,0,0,583.896015735633
"Albania",2021-03-18,0,0,0,1960,2875512,"Europe",29814,0,0,681.617743205384
"Albania",2021-03-19,0,0,0,2240,2875512,"Europe",32054,0,0,778.991706520439
"Albania",2021-03-20,0,0,0,2386,2875512,"Europe",34440,0,0,829.765273106146
"Albania",2021-03-21,0,0,0,2533,2875512,"Europe",36973,0,0,880.88660384655
"Albania",2021-03-22,0,0,0,2679,2875512,"Europe",39652,0,0,931.660170432257
"Andorra",2021-01-25,0,576,0,3025.33333333333,77355,"Europe",61710,0,7446.18964514253,39109.7321871027
"Andorra",2021-01-26,0,0,0,66,77355,"Europe",61776,0,0,853.209230172581
