date,continent,people_fully_vaccinated,people_fully_vaccinated_per_million,people_vaccinated,daily_vaccinations,daily_vaccinated_per_million,people_vaccinated_per_million
2021-01-02,Asia,0.0,0.0,1198623.0,402698.0,15013.2253555744,158851.0
2021-01-02,Europe,0.0,0.0,4027037.0,268004.0,10824.356333925,95539.0
2021-01-02,North America,0.0,0.0,4263498.0,339420.0,5436.99679141498,33616.0
2021-01-02,South America,0.0,0.0,8647.0,8820.0,195.183063018541,450.0
2021-01-03,Asia,0.0,0.0,1350047.0,453674.0,15642.5220236073,175723.0
2021-01-03,Europe,44004.0,646.0,4225154.0,261529.0,10521.490643705,100324.0
2021-01-03,North America,0.0,0.0,4436238.0,351049.0,5478.45391835644,37099.0
2021-01-03,South America,0.0,0.0,8649.0,168252.0,8525.08636579911,450.0
2021-01-04,Asia,1.0,0.0,1504555.0,500778.0,15918.1423335879,193110.0
2021-01-04,Europe,149546.0,2195.0,4780739.0,314886.666666667,12080.0522103004,113998.0
2021-01-04,North America,0.0,0.0,4608977.0,364802.0,5609.017283286,40582.0
2021-01-04,South America,0.0,0.0,9054.0,6541.0,145.510997017335,471.0
2021-01-05,Asia,2.0,0.0,1633508.0,624815.4,23958.8893231189,208359.0
2021-01-05,Europe,255088.0,3743.0,5369656.0,423438.75,14586.4387370788,131702.0
2021-01-05,North America,0.0,0.0,4886658.0,356584.0,5636.04943992295,44383.0
2021-01-05,South America,0.0,0.0,10497.0,8248.0,189.212428674545,546.0
2021-01-06,Asia,2.0,0.0,1746128.0,690016.55,26947.8922457646,225626.0
2021-01-06,Europe,360630.0,5292.0,5937645.0,462792.0,17182.3472092037,154884.0
2021-01-06,North America,0.0,0.0,5362130.0,378126.0,5781.68770890378,48782.0
2021-01-06,South America,0.0,0.0,10600.0,8466.0,194.874292229427,551.0
2021-01-07,Asia,5.0,0.0,1866950.0,687104.0,19245.0690926415,240970.0
2021-01-07,Europe,466172.0,6841.0,6560490.0,520754.5,20100.5502421752,179285.0
2021-01-07,North America,2173.0,57.0,6197436.0,401104.0,5960.61452600249,59332.0
2021-01-07,South America,0.0,0.0,10651.0,8656.0,199.050472619671,554.0
2021-01-08,Asia,8.0,1.0,1939805.0,680968.0,19978.180426053,252091.0
2021-01-08,Europe,571714.0,8390.0,7211729.0,600606.25,24021.3759808738,202791.0
2021-01-08,North America,4053.0,107.0,7014839.0,448712.0,6257.38008861049,65696.0
2021-01-08,South America,0.0,0.0,10676.0,10812.0,246.439130100543,555.0
2021-01-09,Africa,0.0,0.0,0.0,2254.0,22816.3054591098,0.0
2021-01-09,Asia,30.0,3.0,1990656.0,683250.0,20847.9084135533,260731.0
2021-01-09,Europe,677256.0,9938.0,7727807.0,637571.0,24816.6282513805,215052.0
2021-01-09,North America,5880.0,131.0,7822484.0,495198.0,6554.2936469061,71893.0
2021-01-09,South America,0.0,0.0,10689.0,12235.0,277.71652323379,556.0
2021-01-10,Africa,0.0,0.0,500.0,500.0,5061.29224913705,5061.0
2021-01-10,Asia,5986.0,651.0,2034675.0,634197.0,19818.7373203621,268339.0
2021-01-10,Europe,782798.0,11487.0,8176970.0,703544.333333333,664187.735074178,237173.0
2021-01-10,North America,5882.0,143.0,8618906.0,622910.733333333,980704.116239642,77810.0
2021-01-10,South America,0.0,0.0,10696.0,13658.0,308.993916367037,556.0
2021-01-11,Africa,0.0,0.0,1000.0,500.0,5061.29224913705,10123.0
2021-01-11,Asia,25134.0,2733.0,2065560.0,588739.0,19139.3767494268,274160.0
2021-01-11,Europe,824334.0,12097.0,8832187.0,695419.0,57276.5293262728,285089.0
2021-01-11,North America,5884.0,155.0,9430949.0,672316.0,17427.4390408813,88613.0
2021-01-11,South America,0.0,0.0,10699.0,15023.0,337.255983377428,556.0
2021-01-12,Africa,0.0,0.0,1500.0,500.0,5061.29224913705,15184.0
2021-01-12,Asia,60707.0,6600.0,2100466.0,591813.285714286,22624.5674380662,281229.0
2021-01-12,Europe,856464.0,12568.0,9730954.0,730698.25,59217.8154265713,343557.0
2021-01-12,North America,6046.0,159.0,9806339.0,683864.0,17522.3401229692,97865.0
2021-01-12,South America,0.0,0.0,10702.0,14085.0,310.457092352309,556.0
2021-01-13,Africa,0.0,0.0,2000.0,500.0,5061.29224913705,20245.0
2021-01-13,Asia,117233.0,12746.0,2180226.0,554411.833333333,21821.3088953113,291154.0
2021-01-13,Europe,875954.0,12854.0,10853995.0,798900.0,59607.0450577563,406051.0
2021-01-13,North America,16320.0,430.0,10108751.0,766577.0,17862.3431621966,107131.0
2021-01-13,South America,1029.0,53.0,10703.0,13470.0,300.480457013255,556.0
2021-01-14,Africa,0.0,0.0,3000.0,600.0,6073.55069896446,30368.0
2021-01-14,Asia,185870.0,20209.0,2268154.0,873141.0,26644.017420568,304058.0
2021-01-14,Europe,886582.0,13010.0,12070844.0,879525.75,61022.5504821443,471870.0
2021-01-14,North America,1363224.0,4594.0,10463914.0,823004.0,18153.6255785774,117084.0
2021-01-14,South America,5825.0,303.0,12821.0,14455.0,351.779038174305,667.0
2021-01-15,Africa,0.0,0.0,4000.0,667.0,6751.76386034882,40490.0
2021-01-15,Asia,221720.0,24106.0,2334265.0,953180.5,28455.3948434439,316839.0
2021-01-15,Europe,895458.0,13140.0,13321417.0,960699.75,62648.040338871,536245.0
2021-01-15,North America,1639078.0,5570.0,11522526.0,886917.0,18440.8422999945,133842.0
2021-01-15,South America,8297.0,431.0,13778.0,14942.0,377.187405383929,716.0
2021-01-16,Africa,0.0,0.0,7000.0,1000.0,10122.5844982741,70858.0
2021-01-16,Asia,247674.0,26928.0,2591399.0,1096590.0,28804.0606490794,330246.0
2021-01-16,Europe,901138.0,13225.0,14230024.0,1010461.25,62327.6358487083,577914.0
2021-01-16,North America,1744756.0,5946.0,12353440.0,905297.0,18504.3590215909,145031.0
2021-01-16,South America,8330.0,433.0,13801.0,15164.3333333333,372.857420438994,717.0
2021-01-17,Africa,0.0,0.0,8325.0,1118.0,11317.0494690704,84274.0
2021-01-17,Asia,332530.0,36210.0,2719350.0,1064092.5,31397.4417185837,342059.0
2021-01-17,Europe,927962.0,14327.0,14895350.0,1065740.88095238,149188.169019284,621778.0
2021-01-17,North America,1851525.0,6333.0,13138038.0,919078.0,18317.818344831,154157.0
2021-01-17,South America,8347.0,434.0,13913.0,14374.0,363.155396364542,718.0
2021-01-18,Africa,0.0,0.0,9651.0,1236.0,12511.5144398668,97690.0
2021-01-18,Asia,453935.0,49520.0,3045169.0,1176389.0,33586.6142723259,352655.0
2021-01-18,Europe,977779.0,17277.0,15834310.0,1066290.75,61759.8934063175,679570.0
2021-01-18,North America,1958562.0,6692.0,13950333.0,934663.0,18146.2025059973,163832.0
2021-01-18,South America,8364.0,434.0,25955.0,16047.0,439.604788874679,1297.0
2021-01-19,Africa,0.0,0.0,10976.0,1354.0,13705.9794106631,111105.0
2021-01-19,Asia,592651.0,64709.0,3364660.0,1270456.0,35919.6054839001,363298.0
2021-01-19,Europe,1056627.0,23184.0,17046915.0,1121237.0,60871.4046570037,733612.0
2021-01-19,North America,2070381.0,7229.0,14739282.0,1021686.66666667,20882.2292332702,173314.0
2021-01-19,South America,8366.0,435.0,55672.0,21736.0,591.100001527913,2352.0
2021-01-20,Africa,0.0,0.0,13163.0,1595.0,16145.5222747472,133244.0
2021-01-20,Asia,737450.0,80578.0,3598624.0,1332190.0,37242.2777295725,374162.0
2021-01-20,Europe,1169599.0,31182.0,18318482.0,1161704.0,58422.6173485011,772354.0
2021-01-20,North America,2226835.0,8145.0,15444311.0,979434.0,18010.0844984754,182370.0
2021-01-20,South America,12760.0,532.0,325593.0,25886.0,660.503546218244,8269.0
2021-01-21,Africa,0.0,0.0,15026.0,1718.0,17390.6001680349,152107.0
2021-01-21,Asia,901631.0,98460.0,3934222.0,1377896.0,37895.762078461,386134.0
2021-01-21,Europe,1301155.0,39335.0,19719231.0,1287836.5,1042835.75355101,847818.0
2021-01-21,North America,2477456.0,9229.0,16307028.0,989760.0,17959.7040077561,192243.0
2021-01-21,South America,24718.0,794.0,442464.0,185020.0,8544.2053310984,9061.0
2021-01-22,Africa,0.0,0.0,16890.0,1841.0,18635.6780613226,170970.0
2021-01-22,Asia,972872.0,106237.0,4347897.0,1420626.0,37532.0404401165,394714.0
2021-01-22,Europe,1391330.0,45340.0,21214915.0,1249545.0,64981.7375887493,920718.0
2021-01-22,North America,2852613.0,10681.0,17586967.0,1046725.0,17943.0368009789,203316.0
2021-01-22,South America,33512.0,988.0,557426.0,58533.0,766.811612380184,9712.0
2021-01-23,Africa,0.0,0.0,18353.0,1622.0,16418.8320562006,185780.0
2021-01-23,Asia,1028750.0,113814.0,4608890.0,1469698.0,37592.4070256908,404283.0
2021-01-23,Europe,1500119.0,51661.0,22521596.0,1319338.0,69839.4667691029,984210.0
2021-01-23,North America,3134861.0,11805.0,18754529.0,1120874.0,17841.2411097491,213520.0
2021-01-23,South America,37554.0,1076.0,854318.0,94459.0,943.914386648884,11208.0
2021-01-24,Africa,0.0,0.0,19121.0,107627.666666667,16631.7744028877,193554.0
2021-01-24,Asia,1171596.0,129877.0,4739067.0,1527628.0,38250.2388774244,416663.0
2021-01-24,Europe,1587030.0,59938.0,23213644.0,1371275.0,78223.9224725811,1022509.0
2021-01-24,North America,3331996.0,12593.0,19887375.0,1184267.0,18223.9356380376,225117.0
2021-01-24,South America,40353.0,1138.0,923001.0,103303.0,975.788096289955,11579.0
2021-01-25,Africa,0.0,0.0,19889.0,13164.0,23828.9589183738,201328.0
2021-01-25,Asia,1313010.0,145763.0,5260140.0,1603992.0,38709.2151836028,430610.0
2021-01-25,Europe,1812031.0,78856.0,24271170.0,1394402.33333333,115407.946614481,1131067.0
2021-01-25,North America,3477807.0,13400.0,20663396.0,1184714.0,18369.7635296922,235682.0
2021-01-25,South America,42030.0,1217.0,1019564.0,114226.0,941.448159186777,12063.0
2021-01-26,Africa,0.0,0.0,22742.0,1926.0,17001.246343222,229927.0
2021-01-26,Asia,1441076.0,160177.0,5447351.0,1669867.04166667,39650.5452724576,444281.0
2021-01-26,Europe,2097326.0,94160.0,25379757.0,1404999.0,78930.0394719813,1189731.0
2021-01-26,North America,3631454.0,14464.0,21332800.0,1176054.0,18508.8827503179,245520.0
2021-01-26,South America,49272.0,1394.0,1175282.0,131854.0,908.527332712362,12941.0
2021-01-27,Africa,0.0,0.0,25646.0,2024.0,17993.2596240529,259053.0
2021-01-27,Asia,1567074.0,174307.0,5935130.0,1752871.0,39656.1083215485,457021.0
2021-01-27,Europe,2368268.0,116866.0,26642890.0,1415328.0,84550.7116685324,1262117.0
2021-01-27,North America,3919675.0,14837.0,22177883.0,1226761.75,221620.334680972,256834.0
2021-01-27,South America,56105.0,1545.0,1462214.0,168638.0,1025.54436218963,14406.0
2021-01-28,Africa,0.0,0.0,28868.0,17512.0,20327.4887885391,291388.0
2021-01-28,Asia,1703220.0,188891.0,6706719.0,1769036.33333333,42232.9017150275,470791.0
2021-01-28,Europe,2718811.0,142383.0,27983150.0,1428148.0,84364.2921373861,1369405.0
2021-01-28,North America,4392771.0,16746.0,23205771.0,1279509.0,20346.7969202143,267752.0
2021-01-28,South America,61846.0,1671.0,1787860.0,291513.5,9094.94736626298,16024.0
2021-01-29,Africa,0.0,0.0,30979.0,47245.0,21439.150310633,312486.0
2021-01-29,Asia,1774104.0,196344.0,7412909.0,1691781.0,41920.5836233258,479064.0
2021-01-29,Europe,3062999.0,166088.0,29365514.0,1447571.66666667,162247.374077817,1514531.0
