date,continent,people_fully_vaccinated,people_fully_vaccinated_per_million,people_vaccinated,daily_vaccinations,daily_vaccinated_per_million,people_vaccinated_per_million
2021-01-19,Europe,5390726.0,11329037.0,31590586.0,1121237.0,663563.0,24924392.0
2021-01-19,North America,2100783.0,730040.0,15163424.0,972086.0,51528.0,6391671.0
2021-01-19,South America,86285.0,4486.0,152306.0,168252.0,8525.0,4476.0
2021-01-20,Africa,67414.0,682399.0,155328.0,2254.0,22816.0,1572318.0
2021-01-20,Asia,1832344.0,305838.0,13718480.0,625933.0,35532.0,1126802.0
2021-01-20,Europe,5392224.0,11340517.0,31767997.0,1161704.0,664188.0,24993117.0
2021-01-20,North America,2266577.0,730086.0,15942288.0,990908.0,51550.0,6976354.0
2021-01-20,South America,86296.0,4486.0,325593.0,168252.0,8525.0,8269.0
2021-01-21,Africa,67421.0,682478.0,156132.0,2254.0,22816.0,1580459.0
2021-01-21,Asia,2360481.0,305921.0,14419838.0,627675.0,35862.0,1251456.0
2021-01-21,Europe,5392973.0,12393840.0,31945409.0,1224770.0,853512.0,34346334.0
2021-01-21,North America,2522688.0,730109.0,16896263.0,1009731.0,51561.0,8360555.0
2021-01-21,South America,252463.0,13379.0,1818233.0,176636.0,8535.0,89073.0
2021-01-22,Africa,67425.0,682518.0,156534.0,2254.0,22816.0,1584529.0
2021-01-22,Asia,2519760.0,305963.0,15121196.0,628545.0,36028.0,1284727.0
2021-01-22,Europe,5393348.0,13671276.0,32328136.0,1287836.0,948174.0,43699551.0
2021-01-22,North America,2903361.0,730120.0,18261707.0,1044809.0,51567.0,9025060.0
2021-01-22,South America,264694.0,13762.0,3310873.0,180828.0,8539.0,169878.0
2021-01-23,Africa,67427.0,682537.0,156936.0,2254.0,22816.0,1588600.0
2021-01-23,Asia,2720052.0,305983.0,15805183.0,628981.0,36193.0,1301363.0
2021-01-23,Europe,5393535.0,14990580.0,34028532.0,1319338.0,995505.0,46149251.0
2021-01-23,North America,3185584.0,730132.0,19136107.0,1119254.0,51570.0,9689564.0
2021-01-23,South America,272697.0,14072.0,4243307.0,182924.0,8542.0,201210.0
2021-01-24,Africa,67428.0,682547.0,167723.0,2254.0,22816.0,1697793.0
2021-01-24,Asia,2731762.0,305994.0,16489169.0,629198.0,36570.0,1317998.0
2021-01-24,Europe,5393629.0,16828751.0,34878730.0,1371275.0,1019170.0,47374100.0
2021-01-24,North America,3389659.0,767819.0,20755926.0,1182761.0,51571.0,12864593.0
2021-01-24,South America,279058.0,14334.0,4430816.0,183972.0,8543.0,208244.0
2021-01-25,Africa,67428.0,682552.0,173117.0,2254.0,22816.0,1752389.0
2021-01-25,Asia,2737618.0,305999.0,17280053.0,629307.0,36990.0,1388802.0
2021-01-25,Europe,5393675.0,17747837.0,35303829.0,1394402.0,1031003.0,47986525.0
2021-01-25,North America,3534562.0,871442.0,21530720.0,1183076.0,51572.0,13802453.0
